Mark,Athlete,Nation,Venue,Date
4 ft 9 in (1.44 m)[1],Ruth Spencer, United States,Painesville,14 May 1910
5 ft 7+3⁄4 in (1.72 m)[4],Ruth Spencer, United States,Painesville,15 May 1911
5 ft 9+3⁄4 in (1.77 m)[4],Hazel Hutaff, United States,Rock Hill,3 April 1915
5 ft 10 in (1.77 m)[1],Lois Tatum, United States,Tallahassee,13 April 1915
6 ft 3 in (1.9 m)[1],Eva Fisk, United States,Lincoln,13 May 1915
7 ft 3 in (2.2 m)[4],Mildred Carl,3 June 1919,New Haven,6 June 1915
2.35 m (7 ft 8+1⁄2 in)[4],Helene Henneke, Germany,Nürnberg,17 July 1921
2.35 m (7 ft 8+1⁄2 in)[4],Yelena Goldobina, Soviet Union,Moskva,7 September 1924
2.53 m (8 ft 3+1⁄2 in)[4],Zoya Romanova, Soviet Union,Moskva,26 August 1935
8 ft 6 in (2.59 m)[4],Diane Bragg, United States,Philadelphia,6 July 1952
8 ft 6 in (2.59 m)[4],Brenda Walker, New Zealand,Wairoa,8 Jan 1969
8 ft 6+1⁄2 in (2.6 m) i[1],Irene Spieker, United States,Louisville,10 February 1978
10 ft 0+1⁄4 in (3.05 m) i[1],Irene Spieker, United States,Louisville,9 February 1979
10 ft 6 in (3.2 m)[4],Jana Edwards, United States,Chicago,11 June 1983
11 ft 1 in (3.37 m)[4],Jana Edwards, United States,Cleveland,18 June 1983
11 ft 9+1⁄2 in (3.59 m)[4],Jana Edwards, United States,Fort Wayne,23 July 1983
3.72 m (12 ft 2+1⁄4 in)[4],Zhang Chunzhen, China,Guangzhou,20 April 1988
3.73 m (12 ft 2+3⁄4 in)[4],Shao Jingmen, China,Guangzhou,4 May 1988
3.75 m (12 ft 3+1⁄2 in)[4],Zhang Chunzhen, China,Nanjing,10 June 1988
3.76 m (12 ft 4 in)[4],Zhou Minxin, China,Fuzhou,22 April 1989
3.8 m (12 ft 5+1⁄2 in)[4],Zhang Chunzhen, China,Guangzhou,9 September 1989
3.81 m (12 ft 6 in)[4],Zhang Chunzhen, China,Guangzhou,24 March 1990
4.00 m (13 ft 1+1⁄4 in)[4],Zhang Chunzhen, China,Guangzhou,24 March 1991
4.02 m (13 ft 2+1⁄4 in)[4],Zhang Chunzhen, China,Beijing,5 June 1991
4.05 m (13 ft 3+1⁄4 in)[4],Zhang Chunzhen, China,Guangzhou,10 August 1991
4.05 m (13 ft 3+1⁄4 in)[2],Sun Caiyun, China,"Nanjing, China",21 May 1992
4.08 m (13 ft 4+1⁄2 in)[2],Zhong Guiqing, China,"Nanjing, China",18 May 1995
4.10 m (13 ft 5+1⁄4 in)[2],Daniela Bártová, Czech Republic,"Ljubljana, Slovenia",21 May 1995
4.12 m (13 ft 6 in)[2],Daniela Bártová, Czech Republic,"Duisburg, Germany",18 June 1995
4.13 m (13 ft 6+1⁄2 in)[2],Daniela Bártová, Czech Republic,"Wesel, Germany",24 June 1995
4.14 m (13 ft 6+3⁄4 in)[2],Daniela Bártová, Czech Republic,"Gateshead, England",2 July 1995
4.15 m (13 ft 7+1⁄4 in)[2],Daniela Bártová, Czech Republic,"Ostrava, Czech Republic",6 July 1995
4.16 m (13 ft 7+3⁄4 in)[2],Daniela Bártová, Czech Republic,"Feldkirch, Austria",14 July 1995
4.17 m (13 ft 8 in)[2],Daniela Bártová, Czech Republic,"Feldkirch, Austria",15 July 1995
4.18 m (13 ft 8+1⁄2 in)[2],Andrea Müller, Germany,"Zittau, Germany",5 August 1995
4.20 m (13 ft 9+1⁄4 in)[2],Daniela Bártová, Czech Republic,"Köln, Germany",18 August 1995
4.21 m (13 ft 9+1⁄2 in)[2],Daniela Bártová, Czech Republic,"Linz, Austria",22 August 1995
4.22 m (13 ft 10 in)[2],Daniela Bártová, Czech Republic,"Salgótarján, Hungary",11 September 1995
4.25 m (13 ft 11+1⁄4 in)[2],Emma George, Australia,"Melbourne, Australia",30 November 1995
4.28 m (14 ft 1⁄2 in)[2],Emma George, Australia,"Perth, Australia",17 December 1995
4.41 m (14 ft 5+1⁄2 in)[2],Emma George, Australia,"Perth, Australia",28 January 1996
4.42 m (14 ft 6 in)[2],Emma George, Australia,"Reims, France",29 June 1996
4.45 m (14 ft 7 in)[2],Emma George, Australia,"Sapporo, Japan",14 July 1996
4.50 m (14 ft 9 in)[2],Emma George, Australia,"Melbourne, Australia",8 February 1997
4.55 m (14 ft 11 in)[2],Emma George, Australia,"Melbourne, Australia",20 February 1997
4.57 m (14 ft 11+3⁄4 in)[2],Emma George, Australia,"Auckland, New Zealand",21 February 1998
4.58 m (15 ft 1⁄4 in)[2],Emma George, Australia,"Melbourne, Australia",14 March 1998
4.59 m (15 ft 1⁄2 in)[2],Emma George, Australia,"Brisbane, Australia",21 March 1998
4.60 m (15 ft 1 in)[2],Emma George, Australia,"Sydney, Australia",20 February 1999
4.60 m (15 ft 1 in)[2],Stacy Dragila, United States,"Sevilla, Spain",21 August 1999
4.60 m (15 ft 1 in)[2][5],Stacy Dragila, United States,"Pocatello, U.S.",19 Feb 2000
4.62 m (15 ft 1+3⁄4 in)[2][5],Stacy Dragila, United States,"Atlanta, U.S.",3 Mar 2000
4.63 m (15 ft 2+1⁄4 in)[2],Stacy Dragila, United States,"Sacramento, U.S.",23 July 2000
4.63 m (15 ft 2+1⁄4 in)[2][5],Stacy Dragila, United States,"New York City, U.S.",2 Feb 2001
4.64 m (15 ft 2+1⁄2 in)[2][5],Svetlana Feofanova, Russia,"Dortmund, Germany",11 February 2001
4.66 m (15 ft 3+1⁄4 in)[2][5],Stacy Dragila, United States,"Pocatello, U.S.",17 Feb 2001
4.70 m (15 ft 5 in)[2][5],Stacy Dragila, United States,"Pocatello, U.S.",17 Feb 2001
4.70 m (15 ft 5 in)[2],Stacy Dragila, United States,"Pocatello, U.S.",27 April 2001
4.81 m (15 ft 9+1⁄4 in)[2],Stacy Dragila, United States,"Stanford, U.S.",9 June 2001
4.82 m (15 ft 9+3⁄4 in)[2],Yelena Isinbayeva, Russia,"Gateshead, England",13 July 2003
4.83 m (15 ft 10 in)[2][5],Yelena Isinbayeva, Russia,"Donets'k, Ukraine",15 February 2004
4.85 m (15 ft 10+3⁄4 in)[2][5],Svetlana Feofanova[6], Russia,"Athens, Greece",22 February 2004
4.86 m (15 ft 11+1⁄4 in)[2][5],Yelena Isinbayeva, Russia,"Budapest, Hungary",6 March 2004
4.87 m (15 ft 11+1⁄2 in)[2],Yelena Isinbayeva, Russia,"Gateshead, England",27 June 2004
4.88 m (16 ft 0 in)[2],Svetlana Feofanova, Russia,"Heraklion, Greece",4 July 2004
4.89 m (16 ft 1⁄2 in)[2],Yelena Isinbayeva, Russia,"Birmingham, England",25 July 2004
4.90 m (16 ft 3⁄4 in)[2],Yelena Isinbayeva, Russia,"London, England",30 July 2004
4.91 m (16 ft 1+1⁄4 in)[2],Yelena Isinbayeva, Russia,"Athens, Greece",24 August 2004
4.92 m (16 ft 1+1⁄2 in)[2],Yelena Isinbayeva, Russia,"Brussels, Belgium",3 September 2004
4.93 m (16 ft 2 in)[2],Yelena Isinbayeva, Russia,"Lausanne, Switzerland",5 July 2005
4.95 m (16 ft 2+3⁄4 in)[2],Yelena Isinbayeva, Russia,"Madrid, Spain",16 July 2005
5.00 m (16 ft 4+3⁄4 in)[2],Yelena Isinbayeva, Russia,"London, England",22 July 2005
5.01 m (16 ft 5 in)[2],Yelena Isinbayeva, Russia,"Helsinki, Finland",9 August 2005
5.03 m (16 ft 6 in)[2],Yelena Isinbayeva, Russia,"Rome, Italy",11 July 2008
5.04 m (16 ft 6+1⁄4 in)[2],Yelena Isinbayeva, Russia,"Fontvieille, Monaco",29 July 2008
5.05 m (16 ft 6+3⁄4 in)[2],Yelena Isinbayeva, Russia,"Beijing, China",18 August 2008
5.06 m (16 ft 7 in)[7],Yelena Isinbayeva, Russia,"Zürich, Switzerland",28 August 2009
